Statistical profiling result from isolate-0x55b09fc89ae0-13723-v8.log, (10956 ticks, 41 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      7    0.1%    0.2%  LazyCompile: *objectLiteral /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:123:40
      7    0.1%    0.2%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      7    0.1%    0.2%  LazyCompile: *extend /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/utils.js:28:16
      7    0.1%    0.2%  LazyCompile: *connectionListenerInternal node:_http_server:440:36
      7    0.1%    0.2%  LazyCompile: *MustacheStatement /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:215:48
      6    0.1%    0.1%  RegExp: ^(?:\{\{(~)?\s*else\b)
      6    0.1%    0.1%  RegExp: ^(?:\{\{(~)?\/)
      6    0.1%    0.1%  RegExp: ^(?:\{\{(~)?#>)
      6    0.1%    0.1%  RegExp: ^(?:([^\s!"#%-,\.\/;->@\[-\^`\{-~]+(?=([=~}\s\/.)|]))))
      6    0.1%    0.1%  RegExp: (^|\r?\n)\s*?$
      6    0.1%    0.1%  LazyCompile: *pushProgram /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:615:36
      6    0.1%    0.1%  LazyCompile: *normalizeString node:path:66:25
      6    0.1%    0.1%  LazyCompile: *Program /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:113:28
      6    0.1%    0.1%  LazyCompile: *ContentStatement /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:228:46
      6    0.1%    0.1%  LazyCompile: *<anonymous> /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/runtime.js:360:47
      6    0.1%    0.1%  LazyCompile: *<anonymous> /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:130:39
      6    0.1%    0.1%  LazyCompile: *<anonymous> /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/express-handlebars/dist/express-handlebars.js:331:47
      5    0.0%    0.1%  RegExp: ^\.|this\b
      5    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\s*else\s*(~)?\}\})
      5    0.0%    0.1%  RegExp: ^(?:\{\{(~)?![\s\S]*?\}\})
      5    0.0%    0.1%  RegExp: ^(?:\.(?=([=~}\s\/.)|])))
      5    0.0%    0.1%  RegExp: ^(?:[\/.])
      5    0.0%    0.1%  LazyCompile: *write_ node:_http_outgoing:730:16
